"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"D9","SMB","3320mil","1620mil","3320mil","1620mil","3320mil","1708.583mil","T","270.00","SMBJ5353B-TP 16V"
"D8","SMB","1175mil","1890mil","1175mil","1890mil","1086.417mil","1890mil","T","360.00","SMBJ5339B-TP 5.6V"
"R49","RESC1608N","3315mil","1840mil","3315mil","1840mil","3348.465mil","1840mil","T","180.00","1608"
"U14","PESD3V3L5UY","3190mil","1965mil","3190mil","1965mil","3154.567mil","1994.528mil","T","360.00","PESD3V3L5UY"
"U13","PESD3V3L5UY","3310mil","2190mil","3310mil","2190mil","3274.567mil","2219.528mil","T","360.00","PESD3V3L5UY"
"R48","CN1J4-3D","3315mil","1970mil","3315mil","1970mil","3279.567mil","2017.244mil","T","360.00","CNZ1J4K"
"R47","CN1J4-3D","3435mil","2195mil","3435mil","2195mil","3399.567mil","2242.244mil","T","360.00","CNZ1J4K"
"R46","RESC1608N","1250mil","2820mil","1250mil","2820mil","1250mil","2853.465mil","T","270.00","1608"
"R45","RESC1608N","1685mil","2155mil","1685mil","2155mil","1651.535mil","2155mil","T","360.00","1608"
"R44","RESC1608N","1190mil","2820mil","1190mil","2820mil","1190mil","2853.465mil","T","270.00","1608"
"R43","RESC1608N","1685mil","2220mil","1685mil","2220mil","1718.465mil","2220mil","T","180.00","1608"
"U12","COTO_C226S_SOP","1455mil","2140mil","1455mil","2140mil","1584.921mil","2090mil","T","180.00","C226S"
"R42","RESC1608N","1685mil","2090mil","1685mil","2090mil","1651.535mil","2090mil","T","360.00","1608"
"U9","ISL28023","3345mil","2685mil","3345mil","2685mil","3419.803mil","2635.787mil","T","180.00","ISL28023"
"R39","RESC1608N","3375mil","2450mil","3375mil","2450mil","3375mil","2483.465mil","T","270.00","1608"
"R38","RESC3216X06N","3345mil","2345mil","3345mil","2345mil","3272.165mil","2345mil","T","360.00","Ohmite MCS1632"
"R37","RESC1608N","3315mil","2450mil","3315mil","2450mil","3315mil","2483.465mil","T","270.00","1608"
"R36","RESC1608N","1655mil","2315mil","1655mil","2315mil","1655mil","2281.535mil","T","90.00","1608"
"R35","RESC1608N","1655mil","2440mil","1655mil","2440mil","1655mil","2473.465mil","T","270.00","1608"
"R34","RESC1608N","1655mil","2565mil","1655mil","2565mil","1655mil","2598.465mil","T","270.00","1608"
"R33","RESC3216X06N","2910mil","3010mil","2910mil","3010mil","2910mil","2937.165mil","T","90.00","Ohmite MCS1632"
"R32","RESC3216X06N","2800mil","3010mil","2800mil","3010mil","2800mil","2937.165mil","T","90.00","Ohmite MCS1632"
"R31","RESC1608N","3115mil","1560mil","3115mil","1560mil","3115mil","1593.465mil","T","270.00","1608"
"R30","RESC3216X06N","3085mil","1455mil","3085mil","1455mil","3012.165mil","1455mil","T","360.00","Ohmite MCS1632"
"R29","RESC1608N","3055mil","1560mil","3055mil","1560mil","3055mil","1593.465mil","T","270.00","1608"
"R28","RESC1608N","2170mil","2750mil","2170mil","2750mil","2170mil","2716.535mil","T","90.00","1608"
"R27","RESC1608N","2220mil","2750mil","2220mil","2750mil","2220mil","2716.535mil","T","90.00","1608"
"R26","RESC1608N","2200mil","1880mil","2200mil","1880mil","2233.465mil","1880mil","T","180.00","1608"
"R25","RESC1608N","2745mil","2690mil","2745mil","2690mil","2745mil","2723.465mil","T","270.00","1608"
"C33","RESC1608N","1820mil","2720mil","1820mil","2720mil","1820mil","2686.535mil","T","90.00","1608"
"C32","RESC1608N","3460mil","2535mil","3460mil","2535mil","3426.535mil","2535mil","T","360.00","1608"
"C31","RESC1608N","3490mil","2625mil","3490mil","2625mil","3490mil","2658.465mil","T","270.00","1608"
"C30","RESC1608N","3345mil","2535mil","3345mil","2535mil","3311.535mil","2535mil","T","360.00","1608"
